trial,gradient,data_id,words
2,Finite,9053,TWO FIFTY PAPA FOX
2,Finite,27140,TWIN CESSNA THREE THREE ALPHA DELTA GROUND
2,Finite,17212,TWENTY ONE SEVEN FORTY FOUR OH ONE
2,Finite,20592,THREE SIX RIGHT AH FIVE ELEVEN
2,Finite,10971,NINETEEN ONE NORTHWEST TWO THIRTY FOUR
2,Finite,11908,SEVENTEEN SIXTY FIVE
2,Finite,26799,EASY IS CLEAR
2,Finite,27998,AMERICAN ELEVEN FIFTY THREE WE'LL CROSS
2,Finite,26976,(UNINTELLIGIBLE)
2,Finite,29155,AMERICAN EIGHT SIXTEEN AFFIRMATIVE
2,Finite,289,ONE SEVENTY ATLANTIC FOUR OH FIVE
2,Finite,26779,(UNINTELLIGIBLE)
2,Finite,1866,THREE SIXTY U S EIGHT FIFTY TWO
2,Finite,7394,OKAY ONE TWO ZERO POINT SIX
2,Finite,14957,SIX SIX EIGHT ZERO SEVEN WITH ME
2,Finite,8186,OH FIVE OH TEN TWENTY FOUR
2,Finite,5132,THREE FOUR TWO SIX
2,Finite,8005,TWELVE THIRTY EIGHT TRAFFIC IN SIGHT
2,Finite,15024,NORTHWEST EIGHTEEN SEVENTY TWO BYE
2,Finite,16885,AND U S AIR FIVE SEVENTEEN
2,Finite,16496,FIVE SIXTY ONE GOOD DAY
2,Finite,28001,YEAH AND GIVE WAY TO THE COMPANY AT THE HIGH SPEED
2,Finite,10073,DIRECT LINDEN PACER FIVE TWO
2,Finite,8652,ONE THREE FOUR TWO SEVEN THREE EIGHT
2,Finite,13536,NORTHWEST TWO THIRTY NINE ROGER
2,Finite,14910,ONE EIGHT HOTEL ROUTING APPROVED
2,Finite,16142,SIXTY FOUR THIRTY ONE CROSS
2,Finite,2939,NERA THIRTY SEVEN FIFTY SIX ROGER
2,Finite,1545,BIZEX SEVEN OH TWO HAS THE SHORT
2,Finite,16739,I'M SORRY REPEAT THAT LAST PART
2,Finite,27947,YES CAN YOU ACCEPT THREE FIVE LEFT
2,Finite,2752,THREE THREE ZERO THREE FORTY SIX
2,Finite,594,AMERICAN NINETY FOUR HEAVY SO LONG
2,Finite,27171,WHO'S THE HEAVY TEN OFF AT THIRTY TWO
2,Finite,10060,DIRECT ARMEL FOR ONE EIGHT FIVE
2,Finite,24139,DOWN TO EIGHT AMERICAN THIRTEEN FIFTY FIVE
2,Finite,19587,FIVE ELEVEN ZERO ONE ZERO DOWN TO THREE
2,Finite,6863,U S AIR TWELVE FIFTY THREE
2,Finite,6186,CALLING BOSTON TOWER SAY AGAIN
2,Finite,20561,DOWN TO THREE AMERICAN SIX HUNDRED
2,Finite,23099,(UNINTELLIGIBLE)
2,Finite,7736,THAT IS CORRECT SIR HAVE A NICE DAY
2,Finite,25707,ZERO SEVEN ZERO SEVEN FORTY-TWO
2,Finite,14304,CLEARED FOR TAKEOFF CACTUS FOUR SEVEN NINE (UNINTELLIGIBLE)
2,Finite,28897,EIGHT TWENTY FOUR NORTH ON ECHO
2,Finite,6654,ONE FOUR ZERO DEPARTURE GOOD DAY SIR
2,Finite,25395,FIVE THOUSAND DELTA SIX NINETY FOUR
2,Finite,21495,ONE SEVEN THOUSAND SOUTHWEST FORTY-THREE
2,Finite,29291,AH DELTA SEVEN TWENTY FIVE CROSSING
2,Finite,28741,POSITION AND HOLD THREE FOUR WHISKEY POP
2,Finite,20028,DOWN TO THREE SEVEN FORTY TWO
2,Finite,29279,UNITED FOUR FIFTY CLEARED TO CROSS
2,Finite,13203,ALLEGHENY THIRTY SEVEN TWO NINE SO LONG
2,Finite,25585,ONE TWO ZERO POINT FIVE GOOD DAY
2,Finite,20005,THREE THOUSAND AMERICAN TWO NINETY TWO
2,Finite,18918,AMERICAN FIVE FORTY SIX REGIONAL APPROACH ROGER
2,Finite,15400,HELICOPTER CALLING MISSED IT SAY AGAIN
2,Finite,29135,OKAY RIGHT ON THE OUTER DELTA SIX NINETY ONE
2,Finite,18749,TWENTY SIX FIVE FIVE ASEA FOUR EIGHTY FOUR
2,Finite,16097,CLEARED TO LAND SIXTY FOUR THIRTY ONE
2,Finite,30149,CLEARED TO CROSS AMERICAN SIX TWENTY NINE
2,Finite,7921,TWENTY THREE EIGHTY EIGHT WE'RE LOOKING
2,Finite,11042,DELTA SIX FORTY SEE YOU ALL LATER
2,Finite,1374,U S AIR THREE FIFTY SIX ON
2,Finite,2315,EIGHT ZERO TWO ROGER FOLLOW COMPANY
2,Finite,22939,(UNINTELLIGIBLE)
2,Finite,10855,OKAY WE'RE AT TWO TEN NOW
2,Finite,16079,SABER ONE ONE THREE TANGO WASHINGTON
2,Finite,27242,ROGER SEVEN FORTY TWO
2,Finite,6023,CLEARED TO GO DELTA THREE SEVENTY EIGHT
2,Finite,6025,ON AND HOLD BIZEX THREE SEVENTY SEVEN
2,Finite,29589,HUSTLER TWELVE EIGHTEEN CLEARED TO LAND
2,Finite,10929,ZERO NINE ZERO UNITED SIX TWELVE
2,Finite,13428,ON THE ROLL FORTY FIVE FIFTY FIVE
2,Finite,6131,TEST FLIGHT ONE BOSTON SKYWAYS
2,Finite,6119,CLEARED TO GO THIRTY SEVEN SIXTY THREE
2,Finite,8003,NORTHWEST THREE EIGHTY IS LOOKING
2,Finite,4655,THIRTY SEVEN TWENTY EIGHT SAY ALTITUDE
2,Finite,12233,BALTIMORE TO WASHINGTON TRUMP SIXTY FOUR FORTY ONE
2,Finite,12393,LEAVING FIVE FOR THREE CONTINENTAL THREE OH NINE
2,Finite,12334,BALTIMORE DIRECT WASHINGTON CONTINENTAL THREE ZERO NINE
2,Finite,12342,NINETEEN ONE SO LONG U S AIR EIGHT FORTY THREE
2,Finite,7171,AH TWO TWO ZERO
2,Finite,2984,THIRTY SEVEN FIFTY SIX ROGER
2,Finite,14847,TOWER U S AIR FORTY SEVEN IS WITH YOU
2,Finite,2035,ZERO NINE CONTINENTAL THREE SIXTY FOUR
2,Finite,30032,CLEARED TO LAND AMERICAN SEVEN SEVENTY NINE
2,Finite,21578,DIRECT WACO SOUTHWEST TWO TWENTY-THREE
2,Finite,2771,FOUR THOUSAND EIGHT ECHO LIMA
2,Finite,10626,THIRTY FOUR FIVE GOOD DAY
2,Finite,17357,CLEARED TO LAND THREE SIX CONTINENTAL ONE TWENTY FOUR
2,Finite,18711,ONE SEVENTY FIVE FOR AMERICAN FIVE OH ONE
2,Finite,1257,TWO HUNDRED CONTINENTAL THREE THIRTY
2,Finite,3907,OKAY I'LL PUT YOU ON THE I L S BEHIND HIM
2,Finite,11026,LEFT TO ONE FIVE ZERO
2,Finite,13421,FORTY FIVE FIFTY FIVE (UNINTELLIGIBLE) AND HOLD
2,Finite,21582,THIRTY-TWO EIGHTY-FIVE GOOD NIGHT
2,Finite,5667,ONE ZERO THOUSAND THREE ZERO THREE
2,Finite,11766,TWO SEVEN ZERO T W A THREE SEVENTEEN
2,Finite,10888,ONE NINETY UNITED SIX TWELVE
2,Finite,24082,AMERICAN THIRTEEN THIRTY SEVEN APPROACH
2,Finite,9252,DEPARTURE TWO THREE GOLF WITH YOU
2,Finite,277,COMMUTER NINE FIFTEEN BOSTON ROGER
2,Finite,13193,SEVEN V A WE'RE POPEYE
2,Finite,27707,GOOD DAY AMERICAN FOUR FORTY TWO PAPA
2,Finite,3422,ROGER DELTA SIX SEVEN SIX
2,Finite,2320,TWENTY ONE OH SIX ROGER
2,Finite,28315,AMERICAN THREE EIGHTY NINE HEAVY ROGER
2,Finite,282,BIZEX FIVE HUNDRED YOU TURNING IN NOW
2,Finite,13133,SEVENTEEN SIXTY ONE ROGER
2,Finite,24806,DOWN TO FIVE SEVEN NINETY FOUR
2,Finite,28508,AMERICAN EIGHT FIFTY TWO
2,Finite,10882,EIGHT FOR FIVE UNITED SIX TWELVE
2,Finite,24466,ELEVEN POINT THREE DOWN FOR ELEVEN
2,Finite,16415,POSITION AND HOLD DELTA JULIET
2,Finite,27442,POSITION AND HOLD AMERICAN NINE TWELVE
2,Finite,24329,AMERICAN EIGHT FIFTY EIGHT ELEVEN THOUSAND
2,Finite,29223,CLEARED TO LAND DELTA SEVEN TWENTY FIVE
2,Finite,14184,U S AIR FIVE SEVENTEEN WILCO
2,Finite,22512,TWO SIXTEEN'S I M C
2,Finite,1311,CLEARED FOR THE APPROACH TRUMP ELEVEN HUNDRED
2,Finite,27752,CLEARED TO GO ASEA NINE SEVENTY THREE
2,Finite,2743,SO LONG FOUR NINETY SIX
2,Finite,9988,AH NIGHTHAWK NINE IS SEARCHING
2,Finite,16917,NORTHWEST EIGHTEEN THIRTY SEVEN GOOD DAY
2,Finite,27272,TWO THIRTY TWO'S ONE EIGHT LEFT FOR THE GATE
2,Finite,21015,YOU WANT DELTA ONE TWENTY FOUR OVER TO THE TOWER SIR
2,Finite,27379,THIRTY ONE BRIDGE FOR DELTA FIVE THIRTY NINE
2,Finite,18549,AMERICAN FOURTEEN FORTY ONE
2,Finite,13499,CLEARED TO GO DELTA FOUR FORTY SIX
2,Finite,1405,ONE EIGHT ZERO FOURTEEN THIRTY EIGHT
2,Finite,22197,THIRTY THREE THREE GOOD DAY
2,Finite,19202,WE'RE IN THE TURN AMERICAN TWELVE SEVENTY FOUR
2,Finite,14447,SO LONG AMERICAN SIX OH NINE
2,Finite,22863,(UNINTELLIGIBLE)
2,Finite,28191,DELTA SIX SEVENTY GOOD DAY
2,Finite,18828,TWO NINE ZERO WE CLEARED TO INTERCEPT (UNINTELLIGIBLE)
2,Finite,20681,AMERICAN SIX FIFTY TWO APPROACH
2,Finite,5873,LEFT ONE FOUR ZERO FOUR HUNDRED KILO
2,Finite,11218,DELTA SIX SIXTY THANKS FOR THE WARNING
2,Finite,5546,O K EIGHTEEN AND A QUARTER GOOD DAY
2,Finite,3268,U S AIR TEN SIXTY TWO ROGER
2,Finite,11696,TWO FIVE ZERO DELTA FIVE OH ONE
2,Finite,5485,EIGHTEEN TWENTY FIVE SO LONG
2,Finite,22864,(UNINTELLIGIBLE)
2,Finite,3201,NINETEEN ONE SIX FORTY EIGHT SO LONG
2,Finite,7773,DIRECT HYANNIS THIRTY SEVEN EIGHTY THREE
2,Finite,27580,ASEA FOUR OH EIGHT HOLD SHORT OF THREE FIVE RIGHT
2,Finite,23379,INBOUND ON THE LOCALIZER CLEARED TO FOUR
2,Finite,16268,ON AND HOLD THREE BIZEX SIX FORTY EIGHT
2,Finite,11670,TWO NINE ZERO DOWN TO ONE THOUSAND SIX HUNDRED
2,Finite,21891,YES MAAM WE'VE GOT HIM IN SIGHT
2,Finite,24772,ZERO SIX ZERO THANK YOU (UNINTELLIGIBLE) GOOD DAY
2,Finite,3142,A HUNDRED AND SEVENTY KNOTS DELTA TWO OH EIGHT
2,Finite,13402,UNITED SIX EIGHTEEN OXONN INBOUND
2,Finite,6913,U S TWO NINETY HOLDING SHORT
2,Finite,744,RIGHT TO ONE NINE ZERO DELTA FIVE NINETY
2,Finite,22336,DELTA FOUR SEVENTY TWO ZERO EIGHT ZERO
2,Finite,27694,(UNINTELLIGIBLE)
2,Finite,14069,AMERICAN ELEVEN ZERO FIVE CONTACT DEPARTURE
2,Finite,8139,THREE ONE BRAVO ROGER
2,Finite,740,ZERO ONE ZERO THIRTY SEVEN SIXTY EIGHT
2,Finite,25042,FIVE ELEVEN SIX THOUSAND INDIA
2,Finite,13819,LEAR EIGHT TWO EIGHT ZERO WASHINGTON TOWER
2,Finite,2074,TWENTY EIGHTEEN NINETEEN ONE SO LONG
2,Finite,12787,DOWN TO THREE FOURTEEN THIRTY ONE
2,Finite,5125,CONTINENTAL FOUR THIRTY NINE DEPARTURE
2,Finite,1503,NINETEEN ONE THANKS VERY MUCH
2,Finite,3489,ONE SEVENTY FIVE SIXTY
2,Finite,19604,ONE HUNDRED EIGHTY KNOTS DELTA SIX NINETY NINE
2,Finite,25722,DOWN TO FIVE THOUSAND AMERICAN FOUR FORTY
2,Finite,1230,TRUMP ELEVEN HUNDRED AT FIVE
2,Finite,17682,THREE THREE U S AIR FOURTEEN FORTY EIGHT
2,Finite,12140,EAGLE FORTY NINE HUNDRED TOWER NINETEEN ONE
2,Finite,12261,SIX FOR FIVE VENUS EIGHT ONE
2,Finite,6482,ROGER THREE ZERO ZERO
2,Finite,17791,CLEARED TO LAND THREE SIX
2,Finite,18003,ONE EIGHTY SEVEN SEE YOU
2,Finite,13957,AMERICAN TEN SIXTY FIVE CONTACT DEPARTURE
2,Finite,19997,AMERICAN TWELVE FORTY SIX REGIONAL
2,Finite,13560,NORTHWEST TWO THIRTY NINE GOOD DAY
2,Finite,6800,TRUMP TEN SEVENTY ONE IS READY TO GO
2,Finite,498,UNITED ONE SEVENTY FOUR HEAVY SO LONG
2,Finite,10748,DOWN TO FIVE TWO THIRTY SIX
2,Finite,6719,U S AIR ONE NINETY FIVE IS READY
2,Finite,25869,DOWN TO FIVE TWELVE TWENTY-SIX
2,Finite,19616,TWENTY FOUR FIFTEEN SO LONG
2,Finite,16623,FORTY FOUR OH TWO
2,Finite,11007,UNITED SIX TWELVE TOWER NINETEEN ONE
2,Finite,25992,DELTA NINETY HEAVY APPROACH
2,Finite,16735,AND WHO ELSE WAS CALLING THE TOWER
2,Finite,29929,SEVEN SIXTY TWO WILCO
2,Finite,29959,GOING TO DEPARTURE AMERICAN FIVE FORTY NINE
2,Finite,13670,LEFT ON INDIA GROUND POINT SEVEN ROGER
2,Finite,30199,AMERICAN FIVE HEAVY OKAY
2,Finite,22243,AH THIRTY FOUR FIFTEEN
2,Finite,24359,DELTA SEVEN FIFTY EIGHT EIGHT THOUSAND
2,Finite,9638,GOOD MORNING DEPARTURE RAT SIX ZERO ONE
2,Finite,26402,AFFIRM FOURTEEN FOURTEEN QUEBEC
2,Finite,6156,DELTA SEVEN THIRTY
2,Finite,6901,FIVE EIGHTEEN ROGER
2,Finite,15737,CONTINENTAL THREE ZERO SIX ROLLING
2,Finite,18112,LEFT TWO NINER ZERO ZERO BRAVO FOX
2,Finite,24351,THANK YOU AMERICAN FIFTY
2,Finite,12482,PACER ONE NINETEEN THREE GOOD EVENING
2,Finite,18121,SLOWING TO ONE NINE ZERO BRAVO FOX
2,Finite,18786,DOWN TO FOUR THOUSAND AMERICAN EIGHT FIFTY EIGHT
2,Finite,23765,ASEA FOUR ZERO TWO APPROACH
2,Finite,20650,AMERICAN THIRTEEN THIRTY TWO WILCO
2,Finite,19034,HEADING TWO FIVE ZERO MIDWAY THREE SEVENTEEN
2,Finite,17846,WE'RE GOING RIGHT NOW
2,Finite,6440,CLEARED FOR TAKEOFF TWO THREE HOTEL
2,Finite,11462,ZERO SEVEN ZERO NORTHWEST TWELVE TEN
2,Finite,9898,ZERO TWO ZERO SUGAR BRAVO
2,Finite,1991,OVER TO THE TOWER EIGHTEEN FORTY THREE
2,Finite,1797,LEFT THREE ONE ZERO DELTA TWO TEN HEAVY
2,Finite,16906,FIVE SEVENTY ONE HAVE A GOOD DAY
2,Finite,12087,ONE SIXTY U S AIR ONE FIFTY FIVE
2,Finite,12272,ALL RIGHT TURN RIGHT HEADING TWO SEVEN ZERO
2,Finite,3713,U S AIR EIGHT EIGHT FOUR BOSTON APPROACH
2,Finite,16789,OKAY GROUND POINT SEVEN PLEASE
2,Finite,8723,THIRTY FOUR TWO SWIFT SEVEN ONE GOOD DAY
2,Finite,9437,TWO NINE ZERO TWO SIX FIVE
2,Finite,14123,WE'LL BE READY FIFTEEN SEVENTY FIVE
2,Finite,15530,DELTA SEVENTEEN SIXTY NINE ROGER
2,Finite,17497,ROSS TWO WASHINGTON TOWER
2,Finite,13935,WILL DO AMERICAN TEN SIXTY FIVE
2,Finite,14987,OKAY POSITION AND HOLD ZERO EIGHT GOLF
2,Finite,15587,POSITION AND HOLD WHISKEY CHARLIE
2,Finite,8971,THIRTY FIVE FOUR SEE YOU NOW
2,Finite,9501,TWENTY SEVEN TWENTY THREE HERE WE GO
2,Finite,2057,(UNINTELLIGIBLE)
2,Finite,7749,AH ZERO NINE UNIFORM
2,Finite,9732,THREE ZERO ZERO U S AIR TWELVE THIRTY
2,Finite,26106,INNER TO THE RAMP AMERICAN FORTY NINE HEAVY
2,Finite,7746,NOVEMBER ZERO NINE UNIFORM IDENT
2,Finite,25730,AMERICAN TWELVE FORTY-SIX HOW DO YOU HEAR ME
2,Finite,5941,THIRTY FIVE SEVENTY CLEARED FOR TAKEOFF
2,Finite,14436,OKAY DELTA FIVE TWENTY TWO
2,Finite,16334,POSITION AND HOLD (UNINTELLIGIBLE)
2,Finite,13317,HENSON FORTY FOUR TWELVE WASHINGTON TOWER ROGER
2,Finite,5896,U S AIR TWELVE SEVENTY SIX CONTACT DEPARTURE
2,Finite,1307,TRUMP ELEVEN HUNDRED STILL AT THREE
2,Finite,27043,OKAY IT'S APPROVED AS REQUESTED WE'LL SEE YOU LATER ON
2,Finite,29201,AMERICAN EIGHT NINE FIVE WE CAN MAKE IT
2,Finite,27467,OKAY AND AH CLEARED TO CROSS RIGHT
2,Finite,15313,THAT'S APPROVED THREE MIKE MIKE
2,Finite,1116,TWO FIVE EIGHT DOWN TO FOUR
2,Finite,9625,NINETEEN THREE GUARD DOUBLE OH ONE GOOD DAY
2,Finite,23558,DELTA SEVEN TWENTY ONE ELEVEN THOUSAND
2,Finite,11796,T W A GO TO GROUND AH TOWER
2,Finite,14371,FIVE THOUSAND GOOD DAY EIGHTY TWO EIGHTY
2,Finite,13517,REDBIRD SEVEN FORTY SEVEN THANK YOU
2,Finite,6099,ELEVEN NINETY TWO WE FOLLOW THE U S AIR
2,Finite,26328,KEEP HER ROLLING DELTA SIX NINETY NINE
2,Finite,6135,DELTA FOUR NINETY TWO CLEARED FOR TAKEOFF
2,Finite,1596,ZERO NINE ZERO AIR CANADA EIGHT TEN
2,Finite,30310,TWA550 T W A FIVE FIFTY READY
2,Finite,27185,WILCO AMERICAN TEN SEVENTY FOUR
2,Finite,20369,AIRPORT IN SIGHT FOR AMERICAN TEN SIXTEEN
2,Finite,17000,ZERO SIX ZERO TALK TO YOU LATER
2,Finite,997,(UNINTELLIGIBLE) ZERO ONE ZERO
2,Finite,8619,TWO FIVE ZERO PACER EIGHT ONE
2,Finite,15139,NAVAJO TWO ZERO TANGO XRAY ROGER
2,Finite,657,SHAMROCK ONE THIRTY FIVE HEAVY THANK YOU
2,Finite,12044,NAVY EIGHT FOUR THREE WASHINGTON APPROACH
2,Finite,570,FIVE THIRTY EIGHT WE WATCH
2,Finite,19983,SO HOW IS EVERYTHING
2,Finite,24950,SIX THOUSAND DELTA TEN OH ONE
2,Finite,13468,CONTINENTAL THREE TWENTY ONE IS SEVEN OUT
2,Finite,4670,O K THREE FIVE SEVEN FIVE COMING UP
2,Finite,26913,(UNINTELLIGIBLE)
2,Finite,2233,OKAY THIRTY SIX EIGHTY ONE GOOD DAY
2,Finite,1159,THREE TWO ZERO FOR CARE EIGHTY THREE
2,Finite,19825,CLEARED VISUAL THREE SIX LEFT UNITED FOUR FIFTY
2,Finite,26000,DELTA NINETY HEAVY APPROACH
2,Finite,6007,TWO TWO ZERO OVER TO DEPARTURE GOOD DAY
2,Finite,8531,AH NO I DON'T SIR I'M SORRY
2,Finite,12977,FOUR THOUSAND BIZEX SIX THIRTY THREE
